Q5;40-Mile Air;United States
W9;Abelag Aviation;Belgium
ZI;Aigle Azur;France
AA;American Airlines;United States
OZ;Asiana Airlines;Republic of Korea
4K;Askari Aviation;Pakistan
8U;Afriqiyah Airways;Libya
Q9;Afrinat International Airlines;Gambia
G4;Allegiant Air;United States
K5;Aban Air;Iran
M3;ABSA - Aerolinhas Brasileiras;Brazil
8V;Astral Aviation;Kenya
YT;Air Togo;Togo
4G;Advance Leasing Company;United States
8T;Air Tindi;Canadian Territories
JP;Adria Airways;Slovenia
UX;Air Europa;Spain
A3;Aegean Airlines;Greece
PE;Air Europe;Italy
KO;Alaska Central Express;United States
I9;Air Italy;Italy
FG;Ariana Afghan Airlines;Afghanistan
SU;Aeroflot Russian Airlines;Russia
JA;Air Bosna;Bosnia and Herzegovina
AF;Air France;France
SB;Air Caledonie International;France
2O;Air Salone;Sierra Leone
V7;Air Senegal International;Senegal
SW;Air Namibia;Namibia
G8;Air Service Gabon;Gabon
PL;Aeroper;Peru
J2;Azerbaijan Airlines;Azerbaijan
AP;Airbus Industrie;France
AB;Air Berlin;Germany
AI;Air India Limited;India
ZB;Air Bourbon;Reunion
CC;Air Atlanta Icelandic;Iceland
TN;Air Tahiti Nui;France
W4;Aero Services Executive;France
IZ;Arkia Israel Airlines;Israel
S2;Air Sahara;India
KM;Air Malta;Malta
M6;Amerijet International;United States
TT;Air Lithuania;Lithuania
BM;Air Sicilia;Italy
NX;Air Macau;Macao
HM;Air Seychelles;Seychelles
AM;AeroMéxico;Mexico
NH;All Nippon Airways;Japan
PX;Air Niugini;Papua New Guinea
G9;Air Arabia;United Arab Emirates
AC;Air Canada;Canada
BT;Air Baltic;Latvia
EL;Air Nippon;Japan
TL;Airnorth;Australia
4N;Air North Charter - Canada;Canada
NZ;Air New Zealand;New Zealand
GV;Aero Flight;Germany
JW;Arrow Air;United States
W3;Arik Air;Nigeria
2B;Aerocondor;Portugal
AR;Aerolineas Argentinas;Argentina
QN;Air Armenia;Armenia
AS;Alaska Airlines;ALASKA
4D;Air Sinai;Egypt
OB;Astrakhan Airlines;Russia
2J;Air Burkina;Burkina Faso
FO;Airlines Of Tasmania;Australia
PJ;Air Saint Pierre;France
OS;Austrian Airlines;Austria
MO;Abu Dhabi Amiri Flight;United Arab Emirates
5N;Aeroflot-Nord;Russia
GR;Aurigny Air Services;United Kingdom
AV;Avianca - Aerovias Nacionales de Colombia;AVIANCA
NF;Air Vanuatu;Vanuatu
K8;Airlink Zambia;Zambia
B9;Air Bangladesh;Bangladesh
7E;Aeroline GmbH;Germany
TX;Air Caraïbes;France
IX;Air India Express;India
AK;AirAsia;Malaysia
3G;Atlant-Soyuz Airlines;Russia
AZ;Alitalia;Italy
ZE;Arcus-Air Logistic;Germany
Z8;Amaszonas;Bolivia
UM;Air Zimbabwe;Zimbabwe
R7;Aserca Airlines;Venezuela
FV;Rossiya-Russian Airlines;Russia
RX;Aviaexpress;Hungary
BP;Air Botswana;Botswana
GS;Air Foyle;United Kingdom
VT;Air Tahiti;French Polynesia
CA;Air China;China
Q6;Aero Condor Peru;Peru
QC;Air Corridor;Mozambique
AH;Air Algerie;Algeria
HO;Antinea Airlines;Algeria
EN;Air Dolomiti;Italy
EI;Aer Lingus;Ireland
E8;Alpi Eagles;Italy
KY;Air S;Air S
PC;Air Fiji;Fiji
FJ;Air Pacific;Fiji
RC;Atlantic Airways;Faroe Islands
QH;Air Florida;United States
NY;Air Iceland;Iceland
2P;Air Philippines;Philippines
GL;Air Greenland;Denmark
KK;Atlasjet;Turkey
JS;Air Koryo;Democratic People's Republic of Korea
KC;Air Astana;Kazakhstan
LV;Albanian Airlines;Albania
XL;Aerolane;Ecuador
TD;Atlantis European Airways;Armenia
MK;Air Mauritius;Mauritius
MD;Air Madagascar;Madagascar
9U;Air Moldova;Moldova
MR;Air Mauritanie;Mauritania
3S;Aeroland Airways;Greece
8D;Astair;Russian Federation
AD;Air Paradise International;Indonesia
QS;African Safari Airways;Kenya
4Y;Airbus France;France
UU;Air Austral;France
A5;Airlinair;France
QL;Aero Lanka;Sri Lanka
BF;Aero-Service;Republic of the Congo
Z3;Avient Aviation;Zimbabwe
R3;Aircompany Yakutia;Russia
VW;Aeromar;Mexico
JY;Air Turks and Caicos;Turks and Caicos Islands
OR;Arkefly;Netherlands
CG;Airlines PNG;Papua New Guinea
TY;Air Cal;France
FL;AirTran Airways;United States
TS;Air Transat;Canada
